CMDLINE /data/pgnanoraw/pod5_fork/pod5/python/pod5/venv/bin/python index_bam.py
MEM 66.722656 1691950613.6634
MEM 66.980469 1691950613.7636
MEM 66.980469 1691950613.8638
MEM 66.980469 1691950613.9640
MEM 66.980469 1691950614.0642
MEM 67.238281 1691950614.1644
MEM 67.238281 1691950614.2646
MEM 67.238281 1691950614.3648
MEM 67.496094 1691950614.4650
MEM 67.496094 1691950614.5651
MEM 67.496094 1691950614.6653
MEM 67.496094 1691950614.7654
MEM 67.496094 1691950614.8655
MEM 67.496094 1691950614.9656
MEM 67.753906 1691950615.0659
MEM 67.753906 1691950615.1661
MEM 67.753906 1691950615.2662
MEM 67.753906 1691950615.3664
MEM 67.753906 1691950615.4666
MEM 68.011719 1691950615.5668
MEM 68.011719 1691950615.6671
MEM 68.011719 1691950615.7673
MEM 68.011719 1691950615.8675
MEM 68.011719 1691950615.9677
MEM 68.269531 1691950616.0679
MEM 68.269531 1691950616.1680
MEM 68.269531 1691950616.2682
MEM 68.269531 1691950616.3684
MEM 68.269531 1691950616.4685
MEM 68.269531 1691950616.5687
MEM 68.269531 1691950616.6688
MEM 68.269531 1691950616.7690
MEM 68.269531 1691950616.8692
MEM 68.269531 1691950616.9694
MEM 68.527344 1691950617.0695
MEM 68.527344 1691950617.1696
MEM 68.527344 1691950617.2698
MEM 68.527344 1691950617.3699
MEM 68.527344 1691950617.4700
MEM 68.785156 1691950617.5702
MEM 68.785156 1691950617.6703
MEM 68.785156 1691950617.7705
MEM 68.785156 1691950617.8707
MEM 68.785156 1691950617.9708
MEM 68.785156 1691950618.0710
MEM 68.785156 1691950618.1712
MEM 68.785156 1691950618.2714
MEM 68.785156 1691950618.3715
MEM 69.042969 1691950618.4717
MEM 69.042969 1691950618.5719
MEM 69.042969 1691950618.6721
MEM 69.042969 1691950618.7723
MEM 69.042969 1691950618.8725
MEM 69.042969 1691950618.9727
MEM 69.300781 1691950619.0728
MEM 69.300781 1691950619.1730
MEM 69.300781 1691950619.2733
MEM 69.300781 1691950619.3734
MEM 69.300781 1691950619.4736
MEM 69.300781 1691950619.5737
MEM 69.558594 1691950619.6739
MEM 69.558594 1691950619.7740
MEM 69.558594 1691950619.8742
MEM 69.558594 1691950619.9744
MEM 69.558594 1691950620.0746
MEM 69.816406 1691950620.1747
MEM 69.816406 1691950620.2749
MEM 69.816406 1691950620.3750
MEM 69.816406 1691950620.4752
MEM 69.816406 1691950620.5754
MEM 70.074219 1691950620.6756
MEM 70.074219 1691950620.7758
MEM 70.074219 1691950620.8759
MEM 70.074219 1691950620.9761
MEM 70.074219 1691950621.0762
MEM 70.074219 1691950621.1764
MEM 70.332031 1691950621.2766
MEM 70.332031 1691950621.3767
MEM 70.332031 1691950621.4768
MEM 70.332031 1691950621.5770
MEM 70.332031 1691950621.6773
MEM 70.589844 1691950621.7774
MEM 70.589844 1691950621.8775
MEM 70.589844 1691950621.9777
MEM 71.632812 1691950622.0780
MEM 71.632812 1691950622.1781
MEM 71.632812 1691950622.2783
MEM 71.632812 1691950622.3786
MEM 71.632812 1691950622.4787
MEM 71.886719 1691950622.5789
MEM 71.886719 1691950622.6790
MEM 71.886719 1691950622.7792
MEM 71.886719 1691950622.8794
MEM 71.886719 1691950622.9796
MEM 72.144531 1691950623.0798
MEM 72.144531 1691950623.1800
MEM 72.144531 1691950623.2801
MEM 72.144531 1691950623.3804
MEM 72.144531 1691950623.4805
MEM 72.144531 1691950623.5807
MEM 72.402344 1691950623.6809
MEM 72.402344 1691950623.7811
MEM 72.402344 1691950623.8812
MEM 72.402344 1691950623.9815
MEM 72.402344 1691950624.0816
MEM 72.660156 1691950624.1819
MEM 72.660156 1691950624.2820
MEM 72.660156 1691950624.3822
MEM 72.660156 1691950624.4824
MEM 72.660156 1691950624.5826
MEM 72.917969 1691950624.6828
MEM 72.917969 1691950624.7829
MEM 72.917969 1691950624.8830
MEM 72.917969 1691950624.9833
MEM 72.917969 1691950625.0834
MEM 73.175781 1691950625.1835
MEM 73.175781 1691950625.2837
MEM 73.175781 1691950625.3838
MEM 73.175781 1691950625.4839
MEM 73.175781 1691950625.5841
MEM 73.175781 1691950625.6843
MEM 73.175781 1691950625.7845
MEM 73.175781 1691950625.8847
MEM 73.175781 1691950625.9849
MEM 73.175781 1691950626.0851
MEM 73.175781 1691950626.1853
MEM 73.175781 1691950626.2856
MEM 73.175781 1691950626.3858
MEM 73.175781 1691950626.4860
MEM 73.175781 1691950626.5862
MEM 73.433594 1691950626.6864
MEM 73.433594 1691950626.7866
MEM 73.433594 1691950626.8868
MEM 73.433594 1691950626.9870
MEM 73.433594 1691950627.0872
MEM 73.691406 1691950627.1874
MEM 73.691406 1691950627.2876
MEM 73.691406 1691950627.3877
MEM 73.691406 1691950627.4879
MEM 73.691406 1691950627.5880
MEM 73.691406 1691950627.6883
MEM 73.949219 1691950627.7885
MEM 73.949219 1691950627.8886
MEM 73.949219 1691950627.9888
MEM 73.949219 1691950628.0890
MEM 73.949219 1691950628.1891
MEM 74.207031 1691950628.2893
MEM 74.207031 1691950628.3896
MEM 74.207031 1691950628.4898
MEM 74.207031 1691950628.5900
MEM 74.207031 1691950628.6902
MEM 74.464844 1691950628.7903
MEM 74.464844 1691950628.8905
MEM 74.464844 1691950628.9907
MEM 74.464844 1691950629.0909
MEM 74.464844 1691950629.1911
MEM 74.722656 1691950629.2913
MEM 74.722656 1691950629.3914
MEM 74.722656 1691950629.4916
MEM 74.722656 1691950629.5918
MEM 74.722656 1691950629.6920
MEM 74.980469 1691950629.7922
MEM 74.980469 1691950629.8923
MEM 74.980469 1691950629.9925
MEM 74.980469 1691950630.0927
MEM 74.980469 1691950630.1928
MEM 74.980469 1691950630.2929
MEM 75.238281 1691950630.3931
MEM 75.238281 1691950630.4933
MEM 75.238281 1691950630.5935
MEM 75.238281 1691950630.6937
MEM 75.238281 1691950630.7939
MEM 75.496094 1691950630.8941
MEM 75.496094 1691950630.9943
MEM 75.496094 1691950631.0945
MEM 75.496094 1691950631.1947
MEM 75.496094 1691950631.2949
MEM 75.496094 1691950631.3951
MEM 75.753906 1691950631.4953
MEM 75.753906 1691950631.5956
MEM 75.753906 1691950631.6957
MEM 75.753906 1691950631.7960
MEM 75.753906 1691950631.8961
MEM 76.011719 1691950631.9963
MEM 76.011719 1691950632.0965
MEM 76.011719 1691950632.1966
MEM 76.011719 1691950632.2968
MEM 76.011719 1691950632.3970
MEM 76.269531 1691950632.4972
MEM 76.269531 1691950632.5974
MEM 76.269531 1691950632.6975
MEM 76.269531 1691950632.7977
MEM 76.269531 1691950632.8978
MEM 76.527344 1691950632.9980
MEM 76.527344 1691950633.0982
MEM 76.527344 1691950633.1983
MEM 76.785156 1691950633.2984
MEM 76.785156 1691950633.3986
MEM 76.785156 1691950633.4987
MEM 76.785156 1691950633.5989
MEM 76.785156 1691950633.6992
MEM 76.785156 1691950633.7994
MEM 77.042969 1691950633.8996
MEM 77.042969 1691950633.9998
MEM 77.042969 1691950634.1000
MEM 77.042969 1691950634.2002
MEM 77.042969 1691950634.3005
MEM 77.300781 1691950634.4006
MEM 77.300781 1691950634.5009
MEM 77.300781 1691950634.6011
MEM 77.300781 1691950634.7013
MEM 77.300781 1691950634.8015
MEM 77.300781 1691950634.9017
MEM 77.558594 1691950635.0019
MEM 77.558594 1691950635.1020
MEM 77.558594 1691950635.2022
MEM 77.558594 1691950635.3024
MEM 77.558594 1691950635.4025
MEM 77.816406 1691950635.5027
MEM 77.816406 1691950635.6029
MEM 77.816406 1691950635.7032
MEM 77.816406 1691950635.8034
MEM 77.816406 1691950635.9035
MEM 78.074219 1691950636.0036
MEM 78.074219 1691950636.1037
MEM 78.074219 1691950636.2038
MEM 78.074219 1691950636.3040
MEM 78.074219 1691950636.4041
MEM 78.332031 1691950636.5043
MEM 78.332031 1691950636.6045
MEM 78.332031 1691950636.7046
MEM 78.332031 1691950636.8049
MEM 78.332031 1691950636.9050
MEM 78.332031 1691950637.0052
MEM 78.589844 1691950637.1053
MEM 78.589844 1691950637.2055
MEM 78.589844 1691950637.3057
MEM 78.589844 1691950637.4059
MEM 78.589844 1691950637.5060
MEM 78.847656 1691950637.6063
MEM 78.847656 1691950637.7065
MEM 78.847656 1691950637.8066
MEM 78.847656 1691950637.9067
MEM 78.847656 1691950638.0069
MEM 78.847656 1691950638.1071
MEM 78.847656 1691950638.2072
MEM 79.105469 1691950638.3073
MEM 79.105469 1691950638.4075
MEM 79.105469 1691950638.5077
MEM 79.105469 1691950638.6079
MEM 79.105469 1691950638.7081
MEM 79.363281 1691950638.8083
MEM 79.363281 1691950638.9084
MEM 79.363281 1691950639.0086
MEM 79.363281 1691950639.1088
MEM 79.363281 1691950639.2089
MEM 79.363281 1691950639.3091
MEM 79.621094 1691950639.4092
MEM 79.621094 1691950639.5094
MEM 79.621094 1691950639.6095
MEM 79.621094 1691950639.7097
MEM 79.621094 1691950639.8099
MEM 79.878906 1691950639.9100
MEM 79.878906 1691950640.0102
MEM 79.878906 1691950640.1104
MEM 79.878906 1691950640.2106
MEM 79.878906 1691950640.3107
MEM 80.136719 1691950640.4109
MEM 80.136719 1691950640.5111
MEM 80.136719 1691950640.6113
MEM 80.136719 1691950640.7114
MEM 80.136719 1691950640.8116
MEM 80.394531 1691950640.9118
MEM 80.394531 1691950641.0120
MEM 80.394531 1691950641.1121
MEM 80.394531 1691950641.2122
MEM 80.394531 1691950641.3124
MEM 80.394531 1691950641.4126
MEM 80.652344 1691950641.5127
MEM 80.652344 1691950641.6129
MEM 80.652344 1691950641.7131
MEM 80.652344 1691950641.8133
MEM 80.910156 1691950641.9135
MEM 80.910156 1691950642.0136
MEM 80.910156 1691950642.1137
MEM 80.910156 1691950642.2139
MEM 80.910156 1691950642.3141
MEM 80.910156 1691950642.4143
MEM 81.167969 1691950642.5144
MEM 81.167969 1691950642.6146
MEM 81.167969 1691950642.7147
MEM 81.167969 1691950642.8149
MEM 83.226562 1691950642.9150
MEM 83.226562 1691950643.0152
MEM 83.226562 1691950643.1153
MEM 83.226562 1691950643.2154
MEM 83.226562 1691950643.3156
MEM 83.226562 1691950643.4159
MEM 83.480469 1691950643.5160
MEM 83.480469 1691950643.6162
MEM 83.480469 1691950643.7164
MEM 83.480469 1691950643.8165
MEM 83.480469 1691950643.9167
MEM 83.738281 1691950644.0168
MEM 83.738281 1691950644.1170
MEM 83.738281 1691950644.2172
MEM 83.738281 1691950644.3173
MEM 83.738281 1691950644.4174
MEM 83.738281 1691950644.5176
MEM 83.996094 1691950644.6177
MEM 83.996094 1691950644.7179
MEM 83.996094 1691950644.8180
MEM 83.996094 1691950644.9182
